HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
TX,980,127,565,772,68,98,"226,444","45,289",9.563,2.09,638,1.13,0.83,0.65,319,0.56,0.41,0.33,208,0.37,0.27,0.21,139,2.04,1.42,1.09,70,1.03,0.71,0.55,45,0.66,0.46,0.35
OH,1358,186,518,938,94,140,"547,990","109,598",22.933,4.959,1.529,2.95,1.63,1.13,764,1.47,0.81,0.56,499,0.96,0.53,0.37,331,3.52,2.36,1.78,165,1.76,1.18,0.89,108,1.15,0.77,0.58
CA,2.695,293,665,1.68,139,216,"1,310,189","262,038",53.872,11.4,3.591,5.4,2.14,1.33,1.796,2.7,1.07,0.67,1.171,1.76,0.7,0.43,760,5.47,3.52,2.59,380,2.73,1.76,1.3,248,1.78,1.15,0.85
GA,704,60,221,462,27,43,"157,143","31,429",6.55,1.41,437,1.98,0.95,0.62,218,0.99,0.47,0.31,142,0.64,0.31,0.2,94,3.48,2.19,1.57,47,1.74,1.09,0.78,31,1.15,0.72,0.52
NY,4.804,425,1.579,3.191,193,309,"1,477,723","295,545",62.209,13.545,4.147,2.63,1.3,0.86,2.074,1.31,0.65,0.43,1.352,0.86,0.42,0.28,903,4.68,2.92,2.12,452,2.34,1.46,1.06,294,1.52,0.95,0.69
NM,2.908,380,1.102,2.005,161,270,"1,336,795","267,359",56.108,12.174,3.741,3.39,1.87,1.29,1.87,1.7,0.93,0.64,1.22,1.11,0.61,0.42,812,5.04,3.01,2.14,406,2.52,1.5,1.07,265,1.65,0.98,0.7
LA,917,43,402,660,20,31,"221,597","44,319",9.266,2.002,618,1.54,0.94,0.67,309,0.77,0.47,0.34,201,0.5,0.3,0.22,133,6.65,4.29,3.09,67,3.35,2.16,1.56,44,2.2,1.42,1.02
PA,3.267,334,1.267,2.267,143,238,"960,572","192,114",40.442,8.807,2.696,2.13,1.19,0.83,1.348,1.06,0.59,0.41,879,0.69,0.39,0.27,587,4.1,2.47,1.76,294,2.06,1.24,0.88,191,1.34,0.8,0.57
PA,555,61,234,394,27,44,"234,560","46,912",9.986,2.203,666,2.85,1.69,1.2,333,1.42,0.85,0.6,217,0.93,0.55,0.39,147,5.44,3.34,2.41,73,2.7,1.66,1.2,48,1.78,1.09,0.79
TX,1.236,194,678,957,79,137,"332,671","66,534",13.806,2.955,920,1.36,0.96,0.74,460,0.68,0.48,0.37,300,0.44,0.31,0.24,197,2.49,1.44,1.02,98,1.24,0.72,0.51,64,0.81,0.47,0.33
AK,1.583,130,533,1.058,55,93,"551,912","110,382",22.385,4.656,1.492,2.8,1.41,0.94,746,1.4,0.71,0.47,487,0.91,0.46,0.31,310,5.64,3.33,2.38,155,2.82,1.67,1.19,101,1.84,1.09,0.78
MI,3.014,406,876,1.945,122,264,"1,115,589","223,118",46.365,9.942,3.091,3.53,1.59,1.03,1.546,1.76,0.79,0.51,1.008,1.15,0.52,0.33,663,5.43,2.51,1.63,331,2.71,1.25,0.82,216,1.77,0.82,0.53
WI,448,72,222,335,37,54,"254,546","50,909",10.668,2.31,711,3.2,2.12,1.59,356,1.6,1.06,0.79,232,1.05,0.69,0.52,154,4.16,2.85,2.14,77,2.08,1.43,1.07,50,1.35,0.93,0.69
VA,3.116,450,995,2.055,173,312,"1,909,537","381,907",77.695,16.225,5.18,5.21,2.52,1.66,2.59,2.6,1.26,0.83,1.689,1.7,0.82,0.54,1.082,6.25,3.47,2.4,541,3.13,1.73,1.2,353,2.04,1.13,0.78
NC,1.541,232,556,1.048,76,154,"553,131","110,626",23.804,5.316,1.587,2.85,1.51,1.03,793,1.43,0.76,0.51,517,0.93,0.49,0.34,354,4.66,2.3,1.53,177,2.33,1.15,0.76,116,1.53,0.75,0.5
GA,12.78,1.621,3.338,8.059,436,1.029,"5,027,281","1,005,456",206.224,43.511,13.748,4.12,1.71,1.08,6.874,2.06,0.85,0.54,4.483,1.34,0.56,0.35,2.901,6.65,2.82,1.79,1.45,3.33,1.41,0.89,946,2.17,0.92,0.58
GA,2.194,349,831,1.512,106,227,"540,242","108,048",22.537,4.854,1.502,1.81,0.99,0.68,751,0.9,0.5,0.34,490,0.59,0.32,0.22,324,3.06,1.43,0.93,162,1.53,0.71,0.46,106,1,0.47,0.3
IL,527,55,286,406,25,40,"245,644","49,129",9.981,2.081,665,2.33,1.64,1.26,333,1.16,0.82,0.63,217,0.76,0.53,0.41,139,5.56,3.48,2.53,69,2.76,1.73,1.25,45,1.8,1.13,0.82
TX,2.775,393,1.003,1.889,161,277,"1,523,446","304,689",61.851,12.88,4.123,4.11,2.18,1.49,2.062,2.06,1.09,0.74,1.345,1.34,0.71,0.48,859,5.34,3.1,2.19,429,2.66,1.55,1.09,280,1.74,1.01,0.71
CA,2.429,191,692,1.561,88,140,"847,115","169,423",34.533,7.229,2.302,3.33,1.47,0.95,1.151,1.66,0.74,0.47,751,1.09,0.48,0.31,482,5.48,3.44,2.52,241,2.74,1.72,1.26,157,1.78,1.12,0.82
MD,6.931,844,1.887,4.409,303,574,"2,015,003","403,001",83.786,17.976,5.586,2.96,1.27,0.81,2.793,1.48,0.63,0.4,1.821,0.97,0.41,0.26,1.198,3.95,2.09,1.42,599,1.98,1.04,0.71,391,1.29,0.68,0.46
ME,1.094,100,400,747,28,64,"318,554","63,711",13.585,3.003,906,2.27,1.21,0.83,453,1.13,0.61,0.41,295,0.74,0.39,0.27,200,7.14,3.13,2,100,3.57,1.56,1,65,2.32,1.02,0.65
LA,2.898,249,1.159,2.028,119,184,"746,856","149,371",30.795,6.539,2.053,1.77,1.01,0.71,1.026,0.89,0.51,0.35,669,0.58,0.33,0.23,436,3.66,2.37,1.75,218,1.83,1.18,0.88,142,1.19,0.77,0.57
TX,908,114,421,665,43,79,"356,372","71,274",14.884,3.21,992,2.36,1.49,1.09,496,1.18,0.75,0.55,324,0.77,0.49,0.36,214,4.98,2.71,1.88,107,2.49,1.35,0.94,70,1.63,0.89,0.61
OR,415,38,182,298,17,27,"189,876","37,975",8.114,1.798,541,2.97,1.82,1.3,270,1.48,0.91,0.65,176,0.97,0.59,0.42,120,7.06,4.44,3.16,60,3.53,2.22,1.58,39,2.29,1.44,1.03
MT,2.432,148,931,1.681,65,106,"476,520","95,304",19.964,4.322,1.331,1.43,0.79,0.55,665,0.71,0.4,0.27,434,0.47,0.26,0.18,288,4.43,2.72,1.95,144,2.22,1.36,0.97,94,1.45,0.89,0.64
NY,1.005,54,365,685,17,35,"286,154","57,231",12.148,2.671,810,2.22,1.18,0.81,405,1.11,0.59,0.4,264,0.72,0.39,0.26,178,10.47,5.09,3.3,89,5.24,2.54,1.65,58,3.41,1.66,1.07
AL,7.297,991,2.756,5.027,342,666,"1,774,690","354,938",74.366,16.104,4.958,1.8,0.99,0.68,2.479,0.9,0.49,0.34,1.617,0.59,0.32,0.22,1.074,3.14,1.61,1.08,537,1.57,0.81,0.54,350,1.02,0.53,0.35
ND,970,80,422,696,43,62,"182,581","36,516",7.675,1.668,512,1.21,0.74,0.53,256,0.61,0.37,0.26,167,0.4,0.24,0.17,111,2.58,1.79,1.39,56,1.3,0.9,0.7,36,0.84,0.58,0.45
IL,394,35,201,298,10,23,"160,796","32,159",6.603,1.395,440,2.19,1.48,1.12,220,1.09,0.74,0.56,144,0.72,0.48,0.37,93,9.3,4.04,2.66,46,4.6,2,1.31,30,3,1.3,0.86
IL,2.053,308,583,1.318,118,213,"670,968","134,194",28.052,6.058,1.87,3.21,1.42,0.91,935,1.6,0.71,0.46,610,1.05,0.46,0.3,404,3.42,1.9,1.31,202,1.71,0.95,0.66,132,1.12,0.62,0.43
ID,1.773,186,848,1.31,95,141,"701,166","140,233",29.208,6.28,1.947,2.3,1.49,1.1,974,1.15,0.74,0.55,635,0.75,0.48,0.36,419,4.41,2.97,2.25,209,2.2,1.48,1.12,137,1.44,0.97,0.74
MA,10.239,1.157,2.548,6.393,438,798,"4,022,208","804,442",167.702,36.098,11.18,4.39,1.75,1.09,5.59,2.19,0.87,0.55,3.646,1.43,0.57,0.36,2.407,5.5,3.02,2.08,1.203,2.75,1.51,1.04,785,1.79,0.98,0.68
CO,640,90,297,468,43,67,"267,487","53,497",10.964,2.311,731,2.46,1.56,1.14,365,1.23,0.78,0.57,238,0.8,0.51,0.37,154,3.58,2.3,1.71,77,1.79,1.15,0.86,50,1.16,0.75,0.56
FL,822,104,342,582,49,76,"266,378","53,276",11.696,2.671,780,2.28,1.34,0.95,390,1.14,0.67,0.47,254,0.74,0.44,0.31,178,3.63,2.34,1.71,89,1.82,1.17,0.86,58,1.18,0.76,0.56
CT,1.354,132,370,862,65,99,"539,133","107,827",22.428,4.815,1.495,4.04,1.73,1.1,748,2.02,0.87,0.55,488,1.32,0.57,0.36,321,4.94,3.24,2.43,160,2.46,1.62,1.21,105,1.62,1.06,0.8
NY,4.012,282,807,2.41,115,199,"1,094,741","218,948",44.838,9.442,2.989,3.7,1.24,0.75,1.495,1.85,0.62,0.37,975,1.21,0.4,0.24,629,5.47,3.16,2.23,315,2.74,1.58,1.12,205,1.78,1.03,0.73
TX,579,64,317,448,34,49,"230,741","46,148",9.381,1.957,625,1.97,1.4,1.08,313,0.99,0.7,0.54,204,0.64,0.46,0.35,130,3.82,2.65,2.03,65,1.91,1.33,1.02,43,1.26,0.88,0.67
NY,4.713,323,1.228,2.971,95,209,"1,090,373","218,075",45.891,9.989,3.059,2.49,1.03,0.65,1.53,1.25,0.51,0.32,998,0.81,0.34,0.21,666,7.01,3.19,2.06,333,3.51,1.59,1.03,217,2.28,1.04,0.67
VT,1.743,117,587,1.165,65,91,"522,720","104,544",21.841,4.714,1.456,2.48,1.25,0.84,728,1.24,0.62,0.42,475,0.81,0.41,0.27,314,4.83,3.45,2.68,157,2.42,1.73,1.34,102,1.57,1.12,0.87
NJ,6.527,701,2.294,4.41,293,497,"2,208,721","441,744",93.226,20.362,6.215,2.71,1.41,0.95,3.108,1.35,0.7,0.48,2.027,0.88,0.46,0.31,1.357,4.63,2.73,1.94,679,2.32,1.37,0.97,443,1.51,0.89,0.63
OH,1.441,209,706,1.073,97,153,"495,349","99,070",20.988,4.605,1.399,1.98,1.3,0.97,700,0.99,0.65,0.49,456,0.65,0.42,0.32,307,3.16,2.01,1.47,154,1.59,1.01,0.74,100,1.03,0.65,0.48
MO,859,80,398,629,43,62,"202,898","40,580",8.57,1.873,571,1.43,0.91,0.66,286,0.72,0.45,0.33,186,0.47,0.3,0.22,125,2.91,2.02,1.56,62,1.44,1,0.78,41,0.95,0.66,0.51
WY,633,32,378,505,20,26,"152,884","30,577",6.416,1.392,428,1.13,0.85,0.68,214,0.57,0.42,0.34,139,0.37,0.28,0.22,93,4.65,3.58,2.91,46,2.3,1.77,1.44,30,1.5,1.15,0.94
IA,799,44,364,581,22,33,"234,872","46,974",9.841,2.131,656,1.8,1.13,0.82,328,0.9,0.56,0.41,214,0.59,0.37,0.27,142,6.45,4.3,3.23,71,3.23,2.15,1.61,46,2.09,1.39,1.05
SC,3.013,329,975,1.994,101,215,"914,407","182,881",38.477,8.374,2.565,2.63,1.29,0.85,1.283,1.32,0.64,0.43,836,0.86,0.42,0.28,558,5.52,2.6,1.7,279,2.76,1.3,0.85,182,1.8,0.85,0.55
WV,2.62,284,1.167,1.894,97,190,"650,209","130,042",27.667,6.1,1.844,1.58,0.97,0.7,922,0.79,0.49,0.35,601,0.51,0.32,0.23,407,4.2,2.14,1.43,203,2.09,1.07,0.71,133,1.37,0.7,0.47
NC,4.873,770,1.465,3.169,249,510,"2,024,238","404,848",83.639,17.806,5.576,3.81,1.76,1.14,2.788,1.9,0.88,0.57,1.818,1.24,0.57,0.37,1.187,4.77,2.33,1.54,594,2.39,1.16,0.77,387,1.55,0.76,0.5
VA,1.326,155,433,879,35,95,"477,802","95,560",20.069,4.358,1.338,3.09,1.52,1.01,669,1.55,0.76,0.5,436,1.01,0.5,0.33,291,8.31,3.06,1.88,145,4.14,1.53,0.94,95,2.71,1,0.61
TN,1.928,247,651,1.29,59,153,"567,490","113,498",23.87,5.192,1.591,2.44,1.23,0.83,796,1.22,0.62,0.41,519,0.8,0.4,0.27,346,5.86,2.26,1.4,173,2.93,1.13,0.7,113,1.92,0.74,0.46
IL,7.764,912,3.161,5.462,312,612,"2,045,072","409,014",83.532,17.529,5.569,1.76,1.02,0.72,2.784,0.88,0.51,0.36,1.816,0.57,0.33,0.23,1.169,3.75,1.91,1.28,584,1.87,0.95,0.64,381,1.22,0.62,0.42
CA,537,51,153,345,23,37,"239,882","47,976",10.14,2.219,676,4.42,1.96,1.26,338,2.21,0.98,0.63,220,1.44,0.64,0.41,148,6.43,4,2.9,74,3.22,2,1.45,48,2.09,1.3,0.94
OH,3.808,567,1.537,2.673,185,376,"1,293,436","258,687",53.815,11.554,3.588,2.33,1.34,0.94,1.794,1.17,0.67,0.47,1.17,0.76,0.44,0.31,770,4.16,2.05,1.36,385,2.08,1.02,0.68,251,1.36,0.67,0.44
FL,1.571,160,719,1.145,44,102,"434,821","86,964",19.023,4.327,1.268,1.76,1.11,0.81,634,0.88,0.55,0.4,414,0.58,0.36,0.26,288,6.55,2.82,1.8,144,3.27,1.41,0.9,94,2.14,0.92,0.59
OH,7.233,885,2.631,4.932,306,595,"1,602,896","320,579",67.629,14.764,4.509,1.71,0.91,0.62,2.254,0.86,0.46,0.31,1.47,0.56,0.3,0.2,984,3.22,1.65,1.11,492,1.61,0.83,0.56,321,1.05,0.54,0.36
CO,1.295,149,555,925,62,106,"673,350","134,670",27.866,5.944,1.858,3.35,2.01,1.43,929,1.67,1,0.72,606,1.09,0.66,0.47,396,6.39,3.74,2.66,198,3.19,1.87,1.33,129,2.08,1.22,0.87
MO,1.883,199,901,1.392,77,138,"557,924","111,585",23.401,5.073,1.56,1.73,1.12,0.83,780,0.87,0.56,0.41,509,0.56,0.37,0.27,338,4.39,2.45,1.7,169,2.19,1.22,0.85,110,1.43,0.8,0.55
SC,3.026,398,1.053,2.04,151,275,"975,665","195,133",40.678,8.756,2.712,2.58,1.33,0.9,1.356,1.29,0.66,0.45,884,0.84,0.43,0.29,584,3.87,2.12,1.47,292,1.93,1.06,0.73,190,1.26,0.69,0.48
GA,1.105,75,547,826,33,54,"280,815","56,163",11.587,2.463,772,1.41,0.93,0.7,386,0.71,0.47,0.35,252,0.46,0.31,0.23,164,4.97,3.04,2.19,82,2.48,1.52,1.09,54,1.64,1,0.72
OH,6.449,679,2.792,4.62,235,457,"2,405,737","481,147",99.801,21.352,6.653,2.38,1.44,1.03,3.327,1.19,0.72,0.52,2.17,0.78,0.47,0.34,1.423,6.06,3.11,2.1,712,3.03,1.56,1.05,464,1.97,1.02,0.68
CA,1.727,203,675,1.201,81,142,"844,608","168,922",35.118,7.534,2.341,3.47,1.95,1.36,1.171,1.73,0.98,0.68,763,1.13,0.64,0.44,502,6.2,3.54,2.47,251,3.1,1.77,1.24,164,2.02,1.15,0.81
TX,1.135,167,357,746,38,102,"439,951","87,990",18.296,3.926,1.22,3.42,1.64,1.07,610,1.71,0.82,0.54,398,1.11,0.53,0.35,262,6.89,2.57,1.57,131,3.45,1.28,0.78,85,2.24,0.83,0.51
